n04403638	telescope, scope
n02417534	wild goat
n02764398	ax handle, axe handle
n07591961	paella
n12714755	prickly ash
n04386051	tailstock
n02481366	mountain gorilla, Gorilla gorilla beringei
n12366053	wild fig, Clusia flava
n04275661	spike
n03542333	hotel
n04049303	rain barrel
n02518324	European catfish, sheatfish, Silurus glanis
n03582959	inverter
n01756291	sidewinder, horned rattlesnake, Crotalus cerastes
n12272883	shingle oak, laurel oak, Quercus imbricaria
n01536780	swamp sparrow, Melospiza georgiana
n04103364	rolling stock
n12047884	spider orchid, Brassia lawrenceana
n11908549	wind poppy, flaming poppy, Stylomecon heterophyllum, Papaver heterophyllum
n11972291	desert sunflower, Gerea canescens
n03107046	cordage
n11621029	silver fir
n03464053	G-string, thong
n12418507	wandflower, Sparaxis tricolor
n02641379	gar, garfish, garpike, billfish, Lepisosteus osseus
n03334382	fieldwork
n02208848	black bee, German bee
n07826930	Chinese anise, star anise, star aniseed
n03492922	hard hat, tin hat, safety hat
n11867311	clammyweed, Polanisia graveolens, Polanisia dodecandra
n07748416	tangerine
n11959862	cardoon, Cynara cardunculus
n02059162	petrel
n02046939	black guillemot, Cepphus grylle
n03796401	moving van
n03307037	extension cord
n04485082	tripod
n03165096	daybed, divan bed
n06276697	broadcasting
n04004210	printed circuit
n15093298	vitamin C, C, ascorbic acid
n02639087	bowfin, grindle, dogfish, Amia calva
n03831382	noseband, nosepiece
n11611233	black pine, Pinus nigra
n03825673	ninon
n04401828	telephone cord, phone cord
n01740551	blind snake, worm snake
n01318381	head
n11857696	portulaca
n02421792	dik-dik
n04542943	waffle iron
n11868814	crucifer, cruciferous plant
n04097373	roadster, runabout, two-seater
n04550184	wardrobe, closet, press
n03973839	pocket watch
n12460697	grape hyacinth
n04167346	seeder
n04610503	yard
n13898207	conformation
n07726525	mushy peas
n03829954	noria
n07727458	black bean, turtle bean
n04049405	raincoat, waterproof
n03607923	kameez
n10366966	nurse
n04032603	quartz battery, quartz mill
n02844307	bit
n07894451	Canary wine
n13238988	stephanotis
n12836337	baby blue-eyes, Nemophila menziesii
n04175574	service club
n04450994	tongue
n12412606	beardless iris
n13035707	helvella
n01807828	Hungarian partridge, grey partridge, gray partridge, Perdix perdix
n02089973	English foxhound
n02520147	flathead catfish, mudcat, goujon, shovelnose catfish, spoonbill catfish, Pylodictus olivaris
n04401088	telephone, phone, telephone set
n02921195	bunting
n07900734	malmsey
n12330469	myrtle
n02282257	blue
n04602956	work-shirt
n02474777	Homo sapiens
n02252226	aphid
n02782602	balloon sail
n03785237	moquette
n09256479	coral reef
n10259997	lieutenant commander
n03511333	hedge trimmer
n01953361	cowrie, cowry
n02092339	Weimaraner
n13016076	potato fungus, Pellicularia filamentosa, Rhizoctinia solani
n03030557	cigar cutter
n01615703	fishing eagle, Haliaeetus leucorhyphus
n03343737	fire alarm, smoke alarm
n09951274	computer user
n02437312	Arabian camel, dromedary, Camelus dromedarius
n07894102	Beaujolais
n03480579	halter
n07697100	hamburger, beefburger, burger
n04218564	silencer, muffler
n04160372	seam
n03046257	clock
n12167075	loofa, loofah, luffa, loufah sponge
n07730033	cardoon
n03716966	mandolin
n14908027	hip tile, hipped tile
n11805956	sandwort
n09902954	celebrant, celebrator, celebrater
n03308152	extractor
n03309687	eyeshadow
n02489589	New World monkey, platyrrhine, platyrrhinian
n03984381	porch
n04572935	well
n03235042	drawing room, withdrawing room
n02393940	Malayan tapir, Indian tapir, Tapirus indicus
n12165170	net melon, netted melon, nutmeg melon, Cucumis melo reticulatus
n12215579	banksia
n02138441	meerkat, mierkat
n04102037	in-line skate
n01567133	New World warbler, wood warbler
n02948072	candle, taper, wax light
n03481521	hammer, power hammer
n12850336	spike lavender, French lavender, Lavandula latifolia
n04380255	tablefork
n12675876	Japanese honeysuckle, Lonicera japonica
n07744057	lingonberry, mountain cranberry, cowberry, lowbush cranberry
n02851099	blind, screen
n03146219	cuirass
n01573240	eastern meadowlark, Sturnella magna
n11644226	American arborvitae, northern white cedar, white cedar, Thuja occidentalis
n04317175	stethoscope
n03440216	Global Positioning System, GPS
n01754370	copperhead, Agkistrodon contortrix
n10123844	general, full general
n07648997	barbecued wing
n01612275	pigeon hawk, merlin, Falco columbarius
n12704343	carambola, carambola tree, Averrhoa carambola
n02109525	Saint Bernard, St Bernard
n02377480	mare, female horse
n01797020	capercaillie, capercailzie, horse of the wood, Tetrao urogallus
n12027658	meadow salsify, goatsbeard, shepherd's clock, Tragopogon pratensis
n02579928	permit, Trachinotus falcatus
n11661372	yew
n03320046	fan
n07893891	Burgundy, Burgundy wine
n03339643	filter
n11628456	douglas fir
n07585997	julienne
n02893608	breadbasket
n04398951	tea table
n03244047	driver, number one wood
n07869111	haggis
n06278338	cable television, cable
n07771212	walnut
n02234355	American cockroach, Periplaneta americana
n03333610	field house, sports arena
n02891788	brass, brass instrument
n12131550	meadowgrass, meadow grass
n02796995	barroom, bar, saloon, ginmill, taproom
n04158807	sea boat
n03432061	gearset
n01618922	New World vulture, cathartid
n03225108	dormitory, dormitory room, dorm room
n03251533	dry dock, drydock, graving dock
n03478907	hall
n04445154	toga virilis
n04555400	washstand, wash-hand stand
n04545748	walker
n03870980	pack, face pack
n03539433	horseshoe, shoe
n03557270	iced-tea spoon
n02887209	brace
n09834699	ballet dancer
n02802990	basket weave
n10385566	osteopath, osteopathist
n04186848	shears
n12597134	cabbage palmetto, cabbage palm, Sabal palmetto
n03516266	herringbone
n04172107	semi-detached house
n09760609	companion
n02921029	bunsen burner, bunsen, etna
n11805255	caryophyllaceous plant
n10806113	zoo keeper
n03197337	digital watch
n01606672	sparrow hawk, Accipiter nisus
n02783161	ballpoint, ballpoint pen, ballpen, Biro
n01692333	Gila monster, Heloderma suspectum
n01891633	shrew, shrewmouse
n07747951	mandarin, mandarin orange
n04445952	toggle switch, toggle, on-off switch, on/off switch
n02669534	academic costume
n03103563	coonskin cap, coonskin
n04202282	shooting stick
n04410086	tenor drum, tom-tom
n09705784	Eritrean
n09941787	commander in chief, generalissimo
n02952374	canteen
n04534359	videotape
n02312006	grub
n03999992	press, mechanical press
n07583978	alphabet soup
n07579917	adobo
n01955933	bivalve, pelecypod, lamellibranch
n03240140	electric drill
n04469514	trampoline
n04044498	radiotelephone, radiophone, wireless telephone
n04258859	soldering iron
n07850329	cheese
n02015357	weka, maori hen, wood hen
n01468712	ascidian
n02768226	backboard, basketball backboard
n03629231	kurta
n01614038	harpy, harpy eagle, Harpia harpyja
n03714235	makeup, make-up, war paint
n02792409	bareboat
n07899108	vermouth
n04059157	ready-to-wear
n04177820	settle, settee
n04417086	tetrode
n02230187	field cricket, Acheta assimilis
n10289462	manageress
n02277742	ringlet, ringlet butterfly
n04057981	reading lamp
n04135710	cling film, clingfilm, Saran Wrap
n03357716	flap, flaps
n03595614	jersey, T-shirt, tee shirt
n07863935	chicken Marengo
n02735538	arctic, galosh, golosh, rubber, gumshoe
n12891305	germander speedwell, bird's eye, Veronica chamaedrys
n01745125	elapid, elapid snake
n01321456	adult
n03064758	coffin, casket
n04346511	stylus, style
n03855604	O ring
n13008157	Pholiota astragalina
n03120198	court, courtyard
n12268246	oak, oak tree
n02977438	cash register, register
n04513998	upholstery material
n04263760	source of illumination
n12821895	garden forget-me-not, Myosotis sylvatica
n02123159	tiger cat
n04141198	saxhorn
n13199970	holly fern
n07904865	grog
n01532325	New World goldfinch, goldfinch, yellowbird, Spinus tristis
n07842130	candy egg
n09206896	arroyo
n02162561	scorpion fly
n12064591	short-spurred fragrant orchid, Gymnadenia odoratissima
n13235503	butterfly weed, orange milkweed, chigger flower, chiggerflower, pleurisy root, tuber root, Indian paintbrush, Asclepias tuberosa
n03943266	pinnacle
n02794156	barometer
n02766534	baby buggy, baby carriage, carriage, perambulator, pram, stroller, go-cart, pushchair, pusher
n12687698	fish geranium, bedding geranium, zonal pelargonium, Pelargonium hortorum
n04418357	theater curtain, theatre curtain
n04099429	rocket, projectile
n03404449	furnace
n03824713	night-light
n07801342	silage, ensilage
n03196324	digital computer
n07729828	green soybean
n03827536	noisemaker
n02324850	European rabbit, Old World rabbit, Oryctolagus cuniculus
n02881193	bowl
n09938449	color guard
n04193377	shift key, shift
n11791569	pistia, water lettuce, water cabbage, Pistia stratiotes, Pistia stratoites
n07875560	roulade
n11887750	western wall flower, Erysimum asperum, Cheiranthus asperus, Erysimum arkansanum
n07750586	almond
n12330891	bayberry, bay-rum tree, Jamaica bayberry, wild cinnamon, Pimenta acris
n12932173	garden angelica, archangel, Angelica Archangelica
n03534580	hoopskirt, crinoline
n03393324	free-reed instrument
n03607029	kachina
n07713395	cruciferous vegetable
n11984144	cat's-ear, California dandelion, capeweed, gosmore, Hypochaeris radicata
n02264591	aphid lion, aphis lion
n02439398	okapi, Okapia johnstoni
n09859152	blacksmith
n03039947	cleaning implement, cleaning device, cleaning equipment
n12614477	waterweed
n03338821	film, photographic film
n07822518	cayenne, cayenne pepper, red pepper
n07921615	hard cider
n04381073	tablespoon
n04599124	woofer
n02918330	bulwark
n12629305	mountain avens, Dryas octopetala
n04343511	student center
n02202006	common mosquito, Culex pipiens
n04494204	tube, vacuum tube, thermionic vacuum tube, thermionic tube, electron tube, thermionic valve
n09224725	bluff
n03090000	conference table, council table, council board
n04367480	swab, swob, mop
n04363082	surface ship
n02988486	CD-R, compact disc recordable, CD-WO, compact disc write-once
n02125494	ocelot, panther cat, Felis pardalis
n12587132	wine palm, jaggery palm, kitul, kittul, kitul tree, toddy palm, Caryota urens
n03127531	crash barrier
n04564278	wattmeter
n02671780	accessory, accoutrement, accouterment
n04198562	shirtwaist, shirtwaister
n04559166	water cooler
n03653220	leather strip
n02117512	striped hyena, Hyaena hyaena
n12461109	tassel hyacinth, Muscari comosum
n09451237	supernova
n02036053	stilt, Australian stilt
n02982599	catch
n12596148	miniature fan palm, bamboo palm, fern rhapis, Rhapis excelsa
n03069752	college
n11893916	chamois cress, Pritzelago alpina, Lepidium alpina
n12267411	black beech, Nothofagus solanderi
n12370549	rose chestnut, ironwood, ironwood tree, Mesua ferrea
n12708941	bergamot, bergamot orange, Citrus bergamia
n10237196	kisser, osculator
n12851469	motherwort, Leonurus cardiaca
n10610465	sleeper, slumberer
n12145477	popcorn, Zea mays everta
n12079963	pogonia
n04463679	track, rail, rails, runway
n03934311	pier glass, pier mirror
n01990007	mantis shrimp, mantis crab
n01576076	golden oriole, Oriolus oriolus
n12708654	sour orange, Seville orange, bitter orange, bitter orange tree, bigarade, marmalade orange, Citrus aurantium
n01728572	thunder snake, worm snake, Carphophis amoenus
n01694178	African chameleon, Chamaeleo chamaeleon
n12023407	dusty miller, silver-lace, silver lace, Tanacetum ptarmiciflorum, Chrysanthemum ptarmiciflorum
n03481172	hammer
n11602873	dioon
n11753143	crimson clover, Italian clover, Trifolium incarnatum
n11748002	legume
n01525720	oscine, oscine bird
n02264885	green lacewing, chrysopid, stink fly
n03249569	drum, membranophone, tympan
n02739550	armoire
n03788047	mosaic
n01744100	reticulated python, Python reticulatus
n12416073	blackberry-lily, leopard lily, Belamcanda chinensis
n04009801	projector
n02426481	steenbok, steinbok, Raphicerus campestris
n03652932	leash, tether, lead
n04076284	repeating firearm, repeater
n02231052	phasmid, phasmid insect
n07735803	turnip
n02811059	batting cage, cage
n04554684	washer, automatic washer, washing machine
n02579303	kingfish, Seriola grandis
n02825961	bell gable
n12578626	cowpea, cowpea plant, black-eyed pea, Vigna unguiculata, Vigna sinensis
n03844045	oil lamp, kerosene lamp, kerosine lamp
n11970101	cotton rose, cudweed, filago
n12833985	streptocarpus
n12690653	incense tree
n07852614	Brie
n02027075	spotted sandpiper, Actitis macularia
n03991837	potentiometer
n12534862	French honeysuckle, sulla, Hedysarum coronarium
n12279772	southern live oak, Quercus virginiana
n03912218	pennywhistle, tin whistle, whistle
n07730207	carrot
n01544704	honeycreeper, Hawaiian honeycreeper
n03803116	muzzle loader
n12800586	miterwort, mitrewort, bishop's cap
n06277280	television, telecasting, TV, video
n12319414	English walnut, English walnut tree, Circassian walnut, Persian walnut, Juglans regia
n02328429	pika, mouse hare, rock rabbit, coney, cony
n02697675	Allen wrench
n01573074	meadowlark, lark
n02687992	airfield, landing field, flying field, field
n10043643	economist, economic expert
n11927740	lamb succory, dwarf nipplewort, Arnoseris minima
n04201064	shofar, shophar
n07767002	medlar
n03488603	hand shovel
n12418221	blue-eyed grass
n02430559	stag
n02639605	paddlefish, duckbill, Polyodon spathula
n02773838	bag, traveling bag, travelling bag, grip, suitcase
n02438272	alpaca, Lama pacos
n03176594	deodorant, deodourant
n11991263	blazing star, button snakeroot, gayfeather, gay-feather, snakeroot
n02060133	fulmar, fulmar petrel, Fulmarus glacialis
n11724660	pheasant's-eye, Adonis annua
n07582277	hors d'oeuvre
n03279153	electronic instrument, electronic musical instrument
n02230480	tree cricket
n03543394	hot rod, hot-rod
n02625851	king mackerel, cavalla, cero, Scomberomorus cavalla
n04507326	umbrella tent
n03553019	hydrofoil, foil
n01677366	common iguana, iguana, Iguana iguana
n02438173	guanaco, Lama guanicoe
n02944146	camisole, underbodice
n09616922	entertainer
n07895710	Cabernet, Cabernet Sauvignon
n03778817	module
n07728053	snap bean, snap
n12329473	Queen's crape myrtle, pride-of-India, Lagerstroemia speciosa
n10522759	rescuer, recoverer, saver
n02727426	apiary, bee house
n03482523	hand
n12646605	fuji, fuji cherry, Prunus incisa
n02960352	car, elevator car
n01591697	titmouse, tit
n03109150	corkscrew, bottle screw
n03982331	poolroom
n03832673	notebook, notebook computer
n03861430	outrigger canoe
n13100156	poisonous plant
n04181718	shade
n13200651	soft shield fern, Polystichum setiferum
n03837698	oast house
n03423877	gas lamp
n12022054	painted daisy, pyrethrum, Tanacetum coccineum, Chrysanthemum coccineum
n02983357	catchment
n02731900	aquaplane
n02992795	cellulose tape, Scotch tape, Sellotape
n02111626	spitz
n01732789	black rat snake, blacksnake, pilot blacksnake, mountain blacksnake, Elaphe obsoleta
n02704645	amphibian, amphibious aircraft
n12886402	Jones' penstemon, Penstemon dolius
n01440764	tench, Tinca tinca
n03619396	kit, outfit
n11834654	saltwort, barilla, glasswort, kali, kelpwort, Salsola kali, Salsola soda
n04452848	tooth
n04373704	swivel chair
n02607862	wrasse
n02967294	carpetbag
n02872752	boot
n07729485	soy, soybean, soya, soya bean
n02928049	butter knife
n08598568	mecca
n04137897	satellite television, satellite TV
n02319555	sand dollar
n11615387	loblolly pine, frankincense pine, Pinus taeda
n02560110	snook
n01847407	dabbling duck, dabbler
n04397027	tea cart, teacart, tea trolley, tea wagon
n10147121	gringo
n11705387	cassia bark, Chinese cinnamon
n07749312	Valencia orange
n04209509	shower room
n02053425	solan, solan goose, solant goose, Sula bassana
n12084890	stanhopea
n11990313	shasta daisy, Leucanthemum superbum, Chrysanthemum maximum maximum
n12139575	cordgrass, cord grass
n03667235	lighting
n02616851	wolffish, wolf fish, catfish
n12510343	dhak, dak, palas, Butea frondosa, Butea monosperma
n01620135	California condor, Gymnogyps californianus
n01623425	screech owl, Otus asio
n01859852	Bewick's swan, Cygnus columbianus bewickii
n03555006	hyperbaric chamber
n03543012	hot line
n02744844	arthrogram
